model,metric,hour,value
"pers","CC",1,0.925
"pers","CC",2,0.918
"pers","CC",3,0.916
"pers","CC",4,0.885
"pers","CC",5,0.875
"pers","CC",6,0.859
"pers","RMSE",1,9.32
"pers","RMSE",2,10.2
"pers","RMSE",3,13.3
"pers","RMSE",4,14.5
"pers","RMSE",5,17.5
"pers","RMSE",6,19.8
"gpnn","CC",1,0.966
"gpnn","CC",2,0.946
"gpnn","CC",3,0.923
"gpnn","CC",4,0.902
"gpnn","CC",5,0.882
"gpnn","CC",6,0.865
"gpnn","RMSE",1,5.34
"gpnn","RMSE",2,6.65
"gpnn","RMSE",3,7.86
"gpnn","RMSE",4,8.86
"gpnn","RMSE",5,9.59
"gpnn","RMSE",6,10.24
"gpnngps","CC",1,0.966
"gpnngps","CC",2,0.946
"gpnngps","CC",3,0.928
"gpnngps","CC",4,0.910
"gpnngps","CC",5,0.892
"gpnngps","CC",6,0.873
"gpnngps","RMSE",1,5.25
"gpnngps","RMSE",2,6.55
"gpnngps","RMSE",3,7.59
"gpnngps","RMSE",4,8.53
"gpnngps","RMSE",5,9.18
"gpnngps","RMSE",6,9.86
"lazz","CC",1,0.982
"lazz","CC",2,0.949
"lazz","CC",3,0.918
"lazz","CC",4,0.887
"lazz","CC",5,0.858
"lazz","CC",6,0.826
"lazz","RMSE",1,4.24
"lazz","RMSE",2,7.05
"lazz","RMSE",3,8.87
"lazz","RMSE",4,10.44
"lazz","RMSE",5,11.65
"lazz","RMSE",6,13.09
"bala","CC",1,0.86
"bala","CC",2,NA
"bala","CC",3,0.84
"bala","CC",4,NA
"bala","CC",5,NA
"bala","CC",6,0.77
"bala","RMSE",1,8.83
"bala","RMSE",2,NA
"bala","RMSE",3,9.6
"bala","RMSE",4,NA
"bala","RMSE",5,NA
"bala","RMSE",6,11.09
"wu","CC",1,0.91
"wu","CC",2,0.89
"wu","CC",3,0.86
"wu","CC",4,0.83
"wu","CC",5,0.82
"wu","CC",6,0.82
"wu","RMSE",1,14.5
"wu","RMSE",2,16.3
"wu","RMSE",3,18.2
"wu","RMSE",4,19.9
"wu","RMSE",5,20.0
"wu","RMSE",6,20.8
